,unique_id,ds,close,y,XAU
224,1INCH,2022-05-27,0.8991,2.7916244190406103,-0.6902133666028959
225,YFI,2022-05-27,7398.65,0.18799585588087311,-0.6902133666028959
226,SOL,2022-05-27,41.5584,-0.5173995182990362,-0.6902133666028959
227,FET,2022-05-27,0.142543,-0.7575980241199197,-0.6902133666028959
228,XMR,2022-05-27,180.901,1.7713691296905496,-0.6902133666028959
229,TRX,2022-05-27,0.0790908,-0.4474299976916751,-0.6902133666028959
230,LEO,2022-05-31,5.333,0.5922200485018405,-0.7195990518784551
231,GT,2022-05-31,5.64042,0.04945366054200658,-0.7195990518784551
232,ETH,2022-05-31,1944.87,-0.27601922009492236,-0.7195990518784551
233,RAY,2022-05-31,1.01818,0.0046044210958405005,-0.7195990518784551
234,XMR,2022-05-31,196.543,2.7567591501215207,-0.7195990518784551
235,YFI,2022-05-31,8077.63,0.6053463769695366,-0.7195990518784551
236,APE,2022-05-31,6.75459,2.135397650611689,-0.7195990518784551
237,BNB,2022-05-31,318.845,-0.3294584160152348,-0.7195990518784551
239,EGLD,2022-05-31,81.0251,2.800592422995474,-0.7195990518784551
240,SUN,2022-05-31,0.010034,0.09878143504126813,-0.7195990518784551
241,DYDX,2022-05-31,2.00819,-0.013721904801742499,-0.7195990518784551
242,LINK,2022-05-31,7.52398,-0.6411409965197122,-0.7195990518784551
243,FET,2022-05-31,0.168065,-0.7234358550219668,-0.7195990518784551
244,BTC,2022-05-31,31682.3,-0.3934653364449911,-0.7195990518784551
245,FLOW,2022-05-31,2.68785,3.1062719232843423,-0.7195990518784551
246,DOGE,2022-05-31,0.0859412,-0.25999474329014316,-0.7195990518784551
247,TRX,2022-05-31,0.0817545,-0.38144350719038833,-0.7195990518784551
248,SOL,2022-05-31,45.5535,-0.4552990970236448,-0.7195990518784551
249,XRP,2022-05-31,0.420264,-0.4460504968639981,-0.7195990518784551
250,OKB,2022-05-31,12.1143,-1.8547276034923739,-0.7195990518784551
251,1INCH,2022-05-31,0.968225,3.221623459373425,-0.7195990518784551
252,LTC,2022-05-31,68.2454,-0.4188810473160669,-0.7195990518784551
253,LINK,2022-06-01,6.82385,-0.7988810496370177,-0.717548577387814
254,APE,2022-06-01,6.06693,1.767095700752259,-0.717548577387814
255,BTC,2022-06-01,29564.1,-0.4967035640783275,-0.717548577387814
256,TRX,2022-06-01,0.0839843,-0.3262058015479475,-0.717548577387814
257,FET,2022-06-01,0.151963,-0.744988995325048,-0.717548577387814
258,YFI,2022-06-01,7455.28,0.22280477515574282,-0.717548577387814
259,SOL,2022-06-01,40.3337,-0.5364364350059951,-0.717548577387814
260,FLOW,2022-06-01,2.46753,2.701064375488668,-0.717548577387814
261,XMR,2022-06-01,200.32,2.994696632998887,-0.717548577387814
262,ETH,2022-06-01,1797.5,-0.4707654820712664,-0.717548577387814
263,OKB,2022-06-01,11.4207,-1.9025506750630965,-0.717548577387814
265,SUN,2022-06-01,0.00996103,0.0865301326100441,-0.717548577387814
266,DYDX,2022-06-01,1.79818,-0.30827750878405086,-0.717548577387814
267,EGLD,2022-06-01,75.2422,2.37581138404534,-0.717548577387814
268,GT,2022-06-01,5.40289,-0.07291891828883779,-0.717548577387814
269,LEO,2022-06-01,4.9281,0.24002142569752483,-0.717548577387814
270,RAY,2022-06-01,0.90818,-0.09618133650951091,-0.717548577387814
271,DOGE,2022-06-01,0.0801478,-0.35102807115570767,-0.717548577387814
272,LTC,2022-06-01,62.3438,-0.8237083380148812,-0.717548577387814
273,1INCH,2022-06-01,0.945149,3.07807687196337,-0.717548577387814
274,XRP,2022-06-01,0.394844,-0.5507734602785661,-0.717548577387814
275,BNB,2022-06-01,297.932,-0.4731539381436184,-0.717548577387814
276,OKB,2022-06-02,11.6185,-1.8889125499813653,-0.6382766329524376
277,FLOW,2022-06-02,2.51773,2.7933910771015165,-0.6382766329524376
278,TRX,2022-06-02,0.0841242,-0.3227401297301264,-0.6382766329524376
279,FET,2022-06-02,0.160455,-0.7336221298764227,-0.6382766329524376
280,EGLD,2022-06-02,77.9997,2.578362649829808,-0.6382766329524376
281,XRP,2022-06-02,0.401938,-0.52154825561834,-0.6382766329524376
282,LINK,2022-06-02,7.08362,-0.7403545851257378,-0.6382766329524376
283,SUN,2022-06-02,0.00994204,0.08334180544588153,-0.6382766329524376
285,1INCH,2022-06-02,0.919172,2.9164843212114637,-0.6382766329524376
286,DOGE,2022-06-02,0.0825357,-0.3135063250980935,-0.6382766329524376
287,ETH,2022-06-02,1826.38,-0.4326011878059693,-0.6382766329524376
288,BTC,2022-06-02,30340.1,-0.45888236464320853,-0.6382766329524376
289,APE,2022-06-02,6.39254,1.9414882754166705,-0.6382766329524376
290,SOL,2022-06-02,40.7733,-0.5296032280292832,-0.6382766329524376
291,YFI,2022-06-02,7479.66,0.23779049742170302,-0.6382766329524376
292,XMR,2022-06-02,200.819,3.026131847178343,-0.6382766329524376
293,RAY,2022-06-02,0.93016,-0.07604250967164163,-0.6382766329524376
294,LEO,2022-06-02,4.9297,0.24141317130505052,-0.6382766329524376
295,LTC,2022-06-02,64.0423,-0.7071977047540817,-0.6382766329524376
296,GT,2022-06-02,5.45249,-0.04736559908701118,-0.6382766329524376
297,DYDX,2022-06-02,1.84294,-0.24549807526065595,-0.6382766329524376
298,BNB,2022-06-02,306.124,-0.41686580553348507,-0.6382766329524376
299,TRX,2022-06-03,0.0818487,-0.3791099383180599,-0.7103731679772161
300,LTC,2022-06-03,62.7454,-0.7961601070360549,-0.7103731679772161
301,LEO,2022-06-03,4.8608,0.18148112608100164,-0.7103731679772161
302,GT,2022-06-03,5.36143,-0.09427860808939686,-0.7103731679772161
304,DYDX,2022-06-03,1.73199,-0.401114209072556,-0.7103731679772161
305,DOGE,2022-06-03,0.0808896,-0.33937195857748487,-0.7103731679772161
306,RAY,2022-06-03,0.89222,-0.11080443370388732,-0.7103731679772161
307,BNB,2022-06-03,298.84,-0.46691497032013224,-0.7103731679772161
308,XRP,2022-06-03,0.392558,-0.5601911115124645,-0.7103731679772161
309,LINK,2022-06-03,6.90399,-0.7808254201727455,-0.7103731679772161
310,YFI,2022-06-03,7516.62,0.26050880320307657,-0.7103731679772161
311,FLOW,2022-06-03,2.42789,2.628159386406331,-0.7103731679772161
312,APE,2022-06-03,6.25565,1.8681717324793796,-0.7103731679772161
313,XMR,2022-06-03,195.929,2.7180793475039127,-0.7103731679772161
314,1INCH,2022-06-03,0.876237,2.649402819631871,-0.7103731679772161
315,SOL,2022-06-03,38.7363,-0.5612666552621365,-0.7103731679772161
316,EGLD,2022-06-03,77.6124,2.549913654276471,-0.7103731679772161
317,OKB,2022-06-03,11.489,-1.8978414539150568,-0.7103731679772161
318,FET,2022-06-03,0.158462,-0.7362898362870575,-0.7103731679772161
319,ETH,2022-06-03,1787.13,-0.4844692123874411,-0.7103731679772161
320,BTC,2022-06-03,29786.2,-0.48587870789979654,-0.7103731679772161
321,SUN,2022-06-03,0.00933088,-0.019268938611495957,-0.7103731679772161
322,FLOW,2022-06-06,2.4979,2.7569201907871186,-0.7315582065968568
323,XMR,2022-06-06,190.04,2.347093423049367,-0.7315582065968568
324,LTC,2022-06-06,64.4452,-0.6795602987247755,-0.7315582065968568
325,SOL,2022-06-06,43.0034,-0.4949382260302718,-0.7315582065968568
326,RAY,2022-06-06,0.92722,-0.0787362381021846,-0.7315582065968568
327,LEO,2022-06-06,5.1004,0.3898950308078816,-0.7315582065968568
328,OKB,2022-06-06,11.6581,-1.886182167002414,-0.7315582065968568
329,YFI,2022-06-06,7452.19,0.22090543627954023,-0.7315582065968568
330,TRX,2022-06-06,0.0817804,-0.3808018996129645,-0.7315582065968568
331,GT,2022-06-06,5.47384,-0.03636633769670877,-0.7315582065968568
332,LINK,2022-06-06,7.89329,-0.557935050457192,-0.7315582065968568
333,BTC,2022-06-06,31462.1,-0.40419758917129683,-0.7315582065968568
334,ETH,2022-06-06,1871.57,-0.37288358192477933,-0.7315582065968568
335,1INCH,2022-06-06,0.870268,2.6122720525903294,-0.7315582065968568
336,FET,2022-06-06,0.149872,-0.7477878784683683,-0.7315582065968568
337,APE,2022-06-06,6.26527,1.8733240821254948,-0.7315582065968568
338,EGLD,2022-06-06,70.3901,2.0194019564069676,-0.7315582065968568
339,BNB,2022-06-06,297.147,-0.47854775944476047,-0.7315582065968568
340,SUN,2022-06-06,0.00958194,0.02288279481844923,-0.7315582065968568
341,DOGE,2022-06-06,0.0822101,-0.3186225697131777,-0.7315582065968568
342,XRP,2022-06-06,0.403357,-0.5157023907448045,-0.7315582065968568
344,DYDX,2022-06-06,1.78049,-0.3330891302994407,-0.7315582065968568
345,RAY,2022-06-07,0.91826,-0.08694569617622057,-0.703197758566618
346,FLOW,2022-06-07,2.45798,2.6835002320543513,-0.703197758566618
347,LINK,2022-06-07,8.79287,-0.35525869466146015,-0.703197758566618
348,YFI,2022-06-07,7790.8,0.42903978478145854,-0.703197758566618
349,BTC,2022-06-07,31383.4,-0.408033321639781,-0.703197758566618
350,1INCH,2022-06-07,0.862292,2.5626565394518908,-0.703197758566618
351,TRX,2022-06-07,0.0824132,-0.36512586582942486,-0.703197758566618
352,DOGE,2022-06-07,0.0816238,-0.3278352669423662,-0.703197758566618
353,EGLD,2022-06-07,67.7944,1.828735657006517,-0.703197758566618
354,ETH,2022-06-07,1839.71,-0.4149858816232682,-0.703197758566618
355,OKB,2022-06-07,11.4766,-1.8986964223226075,-0.703197758566618
356,SUN,2022-06-07,0.0102916,0.14203120215492163,-0.703197758566618
357,XMR,2022-06-07,191.643,2.4480766862350762,-0.703197758566618
358,FET,2022-06-07,0.156773,-0.7385506271187495,-0.703197758566618
359,LEO,2022-06-07,5.2974,0.561253708734407,-0.703197758566618
361,BNB,2022-06-07,291.863,-0.5148547043558864,-0.703197758566618
362,LTC,2022-06-07,64.8474,-0.6519709100303435,-0.703197758566618
363,GT,2022-06-07,5.49499,-0.02547011388383331,-0.703197758566618
364,DYDX,2022-06-07,1.71659,-0.42271392480669967,-0.703197758566618
365,SOL,2022-06-07,40.3673,-0.5359141516701955,-0.703197758566618
366,XRP,2022-06-07,0.408569,-0.4942304755081119,-0.703197758566618
367,APE,2022-06-07,6.14862,1.810847825761736,-0.703197758566618
369,BNB,2022-06-08,289.612,-0.530321572825785,-0.6881633092144701
370,GT,2022-06-08,5.56783,0.012056171814978414,-0.6881633092144701
371,ETH,2022-06-08,1808.38,-0.4563877978051156,-0.6881633092144701
372,XMR,2022-06-08,186.279,2.1101638829112215,-0.6881633092144701
373,DOGE,2022-06-08,0.079978,-0.3536961864371614,-0.6881633092144701
374,LTC,2022-06-08,62.1596,-0.8363437567058672,-0.6881633092144701
375,SUN,2022-06-08,0.00987358,0.07184770972926394,-0.6881633092144701
376,DYDX,2022-06-08,1.66592,-0.493782599887808,-0.6881633092144701
377,TRX,2022-06-08,0.0813071,-0.3925267207092816,-0.6881633092144701
378,YFI,2022-06-08,7501.82,0.25141164612611955,-0.6881633092144701
379,1INCH,2022-06-08,0.828461,2.3522073888768538,-0.6881633092144701
380,FET,2022-06-08,0.150302,-0.7472123070902583,-0.6881633092144701
381,FLOW,2022-06-08,2.40843,2.5923689957014298,-0.6881633092144701
382,RAY,2022-06-08,0.88642,-0.11611859183216951,-0.6881633092144701
383,XRP,2022-06-08,0.402738,-0.5182524896572207,-0.6881633092144701
384,APE,2022-06-08,5.85529,1.6537440085377202,-0.6881633092144701
385,OKB,2022-06-08,11.3786,-1.9054534307048605,-0.6881633092144701
386,SOL,2022-06-08,39.2245,-0.5536780027461429,-0.6881633092144701
387,BTC,2022-06-08,30404.5,-0.4557435949993661,-0.6881633092144701
388,LEO,2022-06-08,5.3619,0.6173584535377623,-0.6881633092144701
389,LINK,2022-06-08,8.88422,-0.3346774399626676,-0.6881633092144701
