ds,1INCH,APE,BNB,BTC,DOGE,DYDX,EGLD,ETH,FET,FLOW,GT,LEO,LINK,LTC,OKB,RAY,SOL,SUN,TRX,XMR,XRP,YFI,y,unique_id,day,week,month,months_since_start,is_holiday,days_to_holiday
2022-06-11,1.5991683943956132,1.0152561281713235,-0.6961008422941305,-0.6158760839822671,-0.5276160292339113,-0.7946217575382308,0.696813809142335,-0.828450022541763,-0.7692223350609244,1.9588643668060954,-0.2571896044658277,0.5963169996339923,-0.6412551490726848,-1.4945402312138456,-1.9318402379282102,-0.22096265594376288,-0.6261106184651658,-0.06953727882779337,-0.5731421438782567,0.7162000733755876,-0.690917668360264,-0.4304612549768336,1857.0,XAU,11,23,6,1,0,9
2022-06-12,1.2407705444750103,0.695672982709968,-0.8366081694113933,-0.715480032271258,-0.6354599499456187,-1.0225408359017616,0.33527724520232816,-1.025839241184679,-0.7858942731341436,1.530152132822927,-0.44240823635514337,0.4837682720354485,-0.8183140197733418,-1.800653027571864,-1.9318471328347229,-0.2594209739890315,-0.6764254675618879,-0.19143133002373264,-0.706964804383313,-0.10411832470087079,-0.7864207264986003,-0.8625987541340548,1842.5,XAU,12,23,6,1,0,8
2022-06-13,0.8823726945544077,0.3760898372486125,-0.977115496528656,-0.8150839805602489,-0.7433038706573262,-1.2504599142652923,-0.0262593187376788,-1.223228459827595,-0.8025662112073628,1.1014398988397585,-0.627626868244459,0.3712195444369046,-0.995372890473999,-2.1067658239298823,-1.9318540277412355,-0.2978792920343002,-0.7267403166586099,-0.3133253812196719,-0.8407874648883693,-0.9244367227773292,-0.8819237846369367,-1.294736253291276,1828.0,XAU,13,24,6,1,0,7
2022-06-14,0.789872358500173,0.3445062552702939,-1.0365231130505326,-0.8915305673050737,-0.7720167508328271,-1.2767722952505225,0.0535712218442104,-1.302741811141408,-0.805746577705942,0.9733963736149271,-0.6178898171776337,0.575362529830693,-0.9208590605174388,-2.067144663040016,-1.9365977234218377,-0.2959286295075567,-0.7243278650599164,-0.5310852723159784,-1.0577300980362352,-2.281883606823268,-0.8894958069326084,-1.5070380832108814,1809.5,XAU,14,24,6,1,0,6
2022-06-15,0.950289215673448,0.5422557912722407,-0.9676745914741732,-0.8576766947179171,-0.6820534974706015,-1.055964292131934,0.7119748540228117,-1.2290693940607187,-0.8092642558028552,1.1378372180612382,-0.655962202036807,0.2890804583627838,-0.7368128519690326,-1.6803856094921554,-1.8878093649393648,-0.2586094959346152,-0.649804561583005,-0.4995495434458016,-0.8654484820051735,-2.202319126846007,-0.8043208553749299,-1.0944574228598656,1815.300048828125,XAU,15,24,6,1,0,5
2022-06-16,0.8827023864044999,0.3754310648926122,-1.0380484994567154,-0.9147935292772158,-0.7071318955224262,-1.209714995948612,0.6606594182015865,-1.3887832654216536,-0.8329095311384613,0.8130568945988284,-0.7871341899798937,0.3051638185397454,-0.8467485195144729,-1.9660613135121296,-1.921670250822268,-0.3037413581902915,-0.6692627246709214,-0.5596962692641061,-0.9002711758887412,-2.7544827586755334,-0.8793366083574582,-1.4324844222741175,1845.699951171875,XAU,16,24,6,1,0,4
2022-06-17,0.8669207218066793,0.4738559395772929,-1.0392715570256368,-0.936862394102244,-0.7163021668902488,-1.19972863386893,0.6977246471099605,-1.4176443522206177,-0.8406394547464767,0.7272408807092762,-0.8186739924302127,0.3164978468310283,-0.8893552089078909,-1.819128268799364,-1.916630074161628,-0.3099305199414202,-0.6777513832923555,-0.5931308912478521,-0.9169455411537544,-2.437295777926912,-0.8541075199250894,-1.412249394505643,1835.5999755859375,XAU,17,24,6,1,0,3
2022-06-18,1.0263951579367656,0.5738969488832992,-1.0296262364505055,-0.9317777334951967,-0.681316937377444,-1.1377591896855657,0.8210899370839834,-1.4019055452711826,-0.8400687690323903,0.7612932488439753,-0.7802319602620211,0.4467304420551874,-0.8634376978594438,-1.725000573208861,-1.9184865277401195,-0.3006941924325098,-0.6582528054225022,-0.572226277492724,-0.8861000710754132,-2.3479196053475464,-0.8465643355815774,-1.3642357673317376,1835.3499755859375,XAU,18,24,6,1,0,2
2022-06-19,1.1858695940668518,0.6739379581893057,-1.0199809158753745,-0.9266930728881493,-0.6463317078646392,-1.0757897455022014,0.9444552270580062,-1.3861667383217475,-0.8394980833183039,0.7953456169786743,-0.7417899280938295,0.5769630372793466,-0.8375201868109967,-1.6308728776183576,-1.920342981318611,-0.2914578649235994,-0.6387542275526489,-0.5513216637375958,-0.8552546009970721,-2.2585434327681804,-0.8390211512380654,-1.3162221401578325,1835.0999755859375,XAU,19,24,6,1,0,1
2022-06-20,1.345344030196938,0.773978967495312,-1.0103355953002433,-0.9216084122811018,-0.6113464783518344,-1.0138203013188372,1.067820517032029,-1.3704279313723124,-0.8389273976042175,0.8293979851133735,-0.7033478959256378,0.7071956325035057,-0.8116026757625497,-1.5367451820278546,-1.9221994348971025,-0.2822215374146889,-0.6192556496827956,-0.5304170499824676,-0.8244091309187309,-2.1691672601888143,-0.8314779668945536,-1.2682085129839273,1834.8499755859375,XAU,20,25,6,1,1,14
